"GCF","species","family","id"
"GCF_000006925.2","Shigella flexneri","Enterobacteriaceae",3
"GCF_000007565.2","Pseudomonas putida","Pseudomonadaceae",2
"GCF_000011985.1","Lactobacillus acidophilus","Lactobacillaceae",1
"GCF_000014425.1","Lactobacillus gasseri","Lactobacillaceae",1
"GCF_000014505.1","Pediococcus pentosaceus","Lactobacillaceae",1
"GCF_000019565.1","Klebsiella variicola","Enterobacteriaceae",3
"GCF_000021045.1","Azotobacter vinelandii","Pseudomonadaceae",2
"GCF_000027125.1","Escherichia coli","Enterobacteriaceae",3
"GCF_000195855.1","Mycobacterium leprae","Mycobacteriaceae",4
"GCF_000271365.1","Pseudomonas aeruginosa","Pseudomonadaceae",2
"GCF_000380365.1","Azotobacter vinelandii","Pseudomonadaceae",2
"GCF_900187065.1","Mycolicibacterium thermoresistibile","Mycobacteriaceae",4
"GCF_900638745.1","Mycobacterium ulcerans","Mycobacteriaceae",4
"GCF_902381635.1","Lacticaseibacillus rhamnosus","Lactobacillaceae",1
"GCF_932527315.1","Mycobacterium tuberculosis","Mycobacteriaceae",4
"GCF_940596495.1","Salmonella enterica","Enterobacteriaceae",3
